f1,f2,f3,f4,f5,f6,Stage
4.6595,11.213,1.3564,0.82495,1.3564,0.025626,0
5.0443,16.953,1.9901,1.3338,1.9901,0.050601,0
6.087,14.349,1.7847,1.2416,1.7847,0.040711,0
6.1307,13.985,1.7289,1.2201,1.7289,0.040298,0
5.4372,12.132,1.6479,0.9749,1.6479,0.022022,0
5.3338,14.5,1.7269,0.97862,1.7269,0.023781,0
5.5874,13.224,1.9145,1.2909,1.9145,0.04676,0
5.6092,10.718,1.8516,1.0699,1.8516,0.025395,0
5.3651,11.937,1.6543,0.96883,1.6543,0.021321,0
1.5798,0.092198,0.018216,0.010674,0.018216,0.00034062,0
1.7567,0.10887,0.020533,0.010685,0.020533,0.00028503,0
2.1015,0.12614,0.024968,0.012763,0.024968,0.00042817,0
1.9303,0.1936,0.1016,0.12145,0.1016,0.006385,0
3.1496,0.34419,0.15268,0.17628,0.15268,0.0049296,0
3.275,0.35769,0.13425,0.12319,0.13425,0.0025883,0
3.1565,0.36542,0.13262,0.13037,0.13262,0.003893,0
1.5201,0.11435,0.038202,0.034471,0.038202,0.0015534,0
1.9862,0.24973,0.13482,0.15894,0.13482,0.0072662,0
3.3623,0.51065,0.25066,0.29512,0.25066,0.0097631,0
3.5987,0.70867,0.30896,0.31492,0.30896,0.0064773,0
3.3581,0.61292,0.26259,0.2894,0.26259,0.010912,0
2.0836,0.31303,0.29697,0.43094,0.29697,0.024162,0
1.5686,0.24436,0.16083,0.20594,0.16083,0.010458,0
3.3315,0.76753,0.35403,0.40323,0.35403,0.013508,0
3.657,1.1003,0.45063,0.44916,0.45063,0.013202,0
3.4936,0.90703,0.39544,0.45116,0.39544,0.01606,0
1.943,1.158,2.2583,3.8399,2.2583,0.17421,0
1.7524,0.44997,0.43303,0.59196,0.43303,0.045009,0
3.5433,1.0067,0.45636,0.43595,0.45636,0.013178,0
3.8122,1.3691,0.54661,0.51717,0.54661,0.016327,0
3.8154,1.3441,0.5653,0.56828,0.5653,0.019579,0
3.126,1.3101,0.8768,1.0491,0.8768,0.05232,0
3.618,1.5007,0.73909,0.52425,0.73909,0.0171,0
3.7929,1.513,0.71536,0.52909,0.71536,0.016446,0
3.8322,1.4894,0.68856,0.5288,0.68856,0.015664,0
4.1431,1.7596,0.73111,0.64216,0.73111,0.020366,0
4.2491,1.8218,0.79455,0.71098,0.79455,0.023713,0
3.9943,1.8738,0.95627,0.87725,0.95627,0.032782,0
4.0815,1.9298,1.0097,0.92676,1.0097,0.034969,0
5.0915,2.2616,1.2834,0.81206,1.2834,0.022213,0
5.0776,2.0909,1.0798,0.71055,1.0798,0.017844,0
5.1938,1.9557,0.99118,0.67006,0.99118,0.015933,0
5.3697,2.6743,1.3623,1.0227,1.3623,0.03271,0
5.5954,2.895,1.6001,1.1655,1.6001,0.037461,0
4.8853,2.0175,1.0676,0.6776,1.0676,0.017448,0
4.8875,2.3113,1.0892,0.88353,1.0892,0.027322,0
5.3626,2.6853,1.3812,1.036,1.3812,0.033156,0
1.925,0.32745,0.085389,0.054083,0.085389,0.055569,0
0.87623,0.16006,0.042001,0.025419,0.042001,0.038245,0
1.8187,0.31456,0.08875,0.052043,0.08875,0.050494,0
1.1215,0.40629,0.12175,0.066968,0.12175,0.0086363,0
1.7719,0.56195,0.16423,0.12279,0.16423,0.033042,0
0.97614,0.2204,0.059185,0.03475,0.059185,0.036549,0
2.0079,0.62213,0.13953,0.086705,0.13953,0.019752,0
1.3731,0.38835,0.11826,0.068738,0.11826,0.010326,0
1.4548,0.60369,0.14385,0.075141,0.14385,0.0094844,0
1.6203,0.53622,0.11896,0.09347,0.11896,0.014954,0
2.0528,0.51658,0.11837,0.072591,0.11837,0.019345,0
1.7695,0.62181,0.12831,0.074257,0.12831,0.014902,0
1.9761,0.63869,0.15766,0.092881,0.15766,0.010731,0
1.7368,0.90001,0.17613,0.10005,0.17613,0.0095527,0
2.0257,1.107,0.17668,0.10079,0.17668,0.011929,0
1.9316,0.63592,0.13207,0.066728,0.13207,0.011658,0
2.0435,0.89099,0.16758,0.089013,0.16758,0.014299,0
2.0372,0.90234,0.19548,0.12733,0.19548,0.010669,0
2.0229,1.5645,0.25679,0.12646,0.25679,0.0094604,0
1.9911,1.5069,0.2191,0.10439,0.2191,0.0094448,0
2.2945,1.1593,0.20566,0.087397,0.20566,0.011014,0
2.1264,1.3792,0.2098,0.090695,0.2098,0.0097896,0
2.2189,1.6046,0.2246,0.10216,0.2246,0.0085232,0
2.1429,2.2994,0.27726,0.10539,0.27726,0.0082107,0
2.1029,2.1118,0.2596,0.10112,0.2596,0.0082195,0
1.9359,1.8983,0.23601,0.092452,0.23601,0.0076273,0
2.2232,1.8423,0.25314,0.094374,0.25314,0.0087429,0
2.0512,1.76,0.22839,0.090209,0.22839,0.0079588,0
2.2149,2.0917,0.25395,0.10255,0.25395,0.0083537,0
2.2784,2.4258,0.27313,0.11203,0.27313,0.0081069,0
2.1341,2.9401,0.33934,0.11233,0.33934,0.0070535,0
2.1327,2.7847,0.32545,0.11047,0.32545,0.0073973,0
2.2569,2.4614,0.30875,0.11009,0.30875,0.0080063,0
2.1671,2.3444,0.29117,0.10699,0.29117,0.0076115,0
2.1436,2.869,0.31441,0.11822,0.31441,0.0068528,0
2.264,2.9984,0.35222,0.11803,0.35222,0.0077216,0
2.1233,2.4806,0.30292,0.10518,0.30292,0.0072888,0
2.2621,2.6547,0.31441,0.11461,0.31441,0.0074028,0
1.196,1.2241,0.31653,0.25601,0.31653,0.0092402,0
1.2713,1.6311,0.40458,0.30632,0.40458,0.010225,0
1.0731,1.3201,0.34317,0.36802,0.34317,0.013595,0
1.0052,1.6913,0.44385,0.36849,0.44385,0.017896,0
2.7245,6.9132,1.7239,1.4766,1.7239,0.050488,0
3.0394,7.8791,1.3757,0.80578,1.3757,0.015565,0
1.9046,4.5508,0.80617,0.73834,0.80617,0.016564,0
0.97629,1.9573,0.55101,0.46575,0.55101,0.017847,0
0.98359,1.7745,0.65805,0.4985,0.65805,0.019393,0
2.8691,7.3719,1.8738,1.4208,1.8738,0.050097,0
3.8733,11.221,1.7255,1.0411,1.7255,0.018855,0
2.097,5.4922,0.94447,0.7121,0.94447,0.014681,0
0.91798,1.9525,0.55022,0.42992,0.55022,0.015752,0
1.1006,2.5484,1.4224,1.0381,1.4224,0.034439,0
3.3678,10.414,3.1001,1.3019,3.1001,0.039516,0
2.4456,8.3214,1.0847,0.64507,1.0847,0.011505,0
2.1882,6.6737,1.2445,0.68977,1.2445,0.013311,0
0.7873,2.5135,0.65251,0.41013,0.65251,0.012971,0
1.4668,6.4792,2.0656,1.2399,2.0656,0.040389,0
3.5068,16.46,3.4861,1.2233,3.4861,0.027128,0
2.2341,11.091,1.2752,0.62579,1.2752,0.01159,0
1.7659,13.888,1.4709,0.55972,1.4709,0.01213,0
0.94481,5.8106,0.72717,0.38185,0.72717,0.013326,0
2.6447,24.283,2.3859,1.0337,2.3859,0.024832,0
2.7888,24.659,2.5105,1.0571,2.5105,0.024605,0
2.938,24.227,2.5789,1.0553,2.5789,0.022791,0
2.1628,12.844,1.3703,0.6323,1.3703,0.012178,0
1.9013,17.403,1.496,0.63853,1.496,0.011283,0
1.4941,14.748,1.2034,0.52449,1.2034,0.01347,0
1.5589,16.041,1.2445,0.57155,1.2445,0.015499,0
2.1544,30.893,2.0988,1.0686,2.0988,0.040049,0
2.2183,31.23,2.1329,1.0426,2.1329,0.036454,0
2.9638,27.331,2.3374,1.0178,2.3374,0.024543,0
1.6145,18.503,1.3801,0.6078,1.3801,0.019484,0
1.535,18.546,1.3078,0.63477,1.3078,0.024009,0
2.1675,30.9,2.1253,1.0773,2.1253,0.04184,0
1.6723,17.123,1.3729,0.60521,1.3729,0.0216,0
1.5254,17.067,1.2964,0.59612,1.2964,0.023181,0
3.8868,3.5887,1.5949,1.3606,1.5949,0.059227,0
4.1232,4.0095,1.6758,1.431,1.6758,0.059206,0
2.6996,1.359,0.70167,0.47728,0.70167,0.013622,0
3.5448,3.9097,2.0473,1.824,2.0473,0.10593,0
5.2403,4.8638,2.0703,1.8453,2.0703,0.085178,0
5.9595,5.2959,2.1612,1.8601,2.1612,0.074163,0
5.1275,2.4185,1.3009,0.892,1.3009,0.019572,0
2.4728,1.1963,0.79708,0.54856,0.79708,0.021877,0
2.2338,2.9636,2.3144,1.829,2.3144,0.16884,0
5.1791,5.09,2.328,2.1452,2.328,0.12699,0
6.3301,5.6379,2.2655,1.9274,2.2655,0.080243,0
4.8682,2.329,1.3444,0.93708,1.3444,0.022412,0
1.9594,1.0626,0.68353,0.57203,0.68353,0.024698,0
